Name,Fight Name,Age,Weight,Record,Reach,Leg Reach
Shamil Abdurakhimov,Abrek,36,235 lb ( 106 kg ),18-4-0,"76""","41"""
Daichi Abe,N/A,26,170 lb ( 77 kg ),6-1-0,"71""","42"""
Israel Adesanya,The Last Stylebender,28,185 lb ( 84 kg ),13-0-0,"80""","44"""
Jessica Aguilar,Jag,35,115 lb ( 52 kg ),19-6-0,"63""","35"""
Omari Akhmedov,Wolverine,30,185 lb ( 84 kg ),17-4-1,"73""","40"""
Yoshihiro Akiyama,Sexyama,42,170 lb ( 77 kg ),"14-6-0, 2NC","73""","42"""
Junior Albini,Baby,27,265 lb ( 120 kg ),14-3-0,"74""","42"""
Alexandra Albu,Stitch,27,115 lb ( 52 kg ),7-0-0,"62""","35"""
Iuri Alcantara,Marajo,37,135 lb ( 61 kg ),"35-9-0, 1NC","71""","40"""
Irene Aldana,N/A,30,135 lb ( 61 kg ),7-4-0,"68""","38"""
Jose Aldo,N/A,31,145 lb ( 65 kg ),26-4-0,"70""","40"""
JJ Aldrich,N/A,25,115 lb ( 52 kg ),6-2-0,"67""","37"""
Abdul Razak Alhassan,N/A,32,170 lb ( 77 kg ),9-1-0,"73""","39"""
Sultan Aliev,N/A,33,170 lb ( 77 kg ),14-2-0,"74""","40"""
Arnold Allen,Almighty,24,145 lb ( 65 kg ),12-1-0,"70""","39"""
Thomas Almeida,Thominhas,26,135 lb ( 61 kg ),22-3-0,"70""","38"""
Eddie Alvarez,The Underground King,34,155 lb ( 70 kg ),"29-5-0, 1NC","69""","40"""
Jaime Alvarez,N/A,30,125 lb ( 56 kg ),7-1-0,"69""",N/A
Thiago Alves,Pitbull,34,170 lb ( 77 kg ),27-12-0,"70""","37"""
Warlley Alves,N/A,27,170 lb ( 77 kg ),12-2-0,"72""","42"""
Sam Alvey,Smile'N,31,205 lb ( 93 kg ),"32-10-0, 1NC","75""","42"""
Makwan Amirkhani,Mr. Finland,29,145 lb ( 65 kg ),13-3-0,"72""","41"""
Eryk Anders,Ya Boi,30,185 lb ( 84 kg ),10-1-0,"75""","43"""
Corey Anderson,Overtime,28,205 lb ( 93 kg ),10-4-0,"79""","44"""
Megan Anderson,N/A,28,145 lb ( 65 kg ),8-2-0,N/A,N/A
